name,value,time
motion,active,2018/12/4 4:03:35.199
motion,inactive,2018/12/4 4:03:21.171
motion,active,2018/12/4 4:01:56.191
motion,inactive,2018/12/4 4:01:53.251
motion,active,2018/12/4 4:01:07.238
motion,inactive,2018/12/4 4:00:49.990
motion,active,2018/12/4 4:00:39.268
motion,inactive,2018/12/4 4:00:19.528
motion,active,2018/12/4 3:59:56.877
motion,inactive,2018/12/4 3:59:55.838
motion,active,2018/12/4 3:58:55.775
motion,inactive,2018/12/4 3:58:45.870
motion,active,2018/12/4 3:57:56.374
motion,inactive,2018/12/4 3:57:46.098
motion,active,2018/12/4 3:57:27.448
motion,inactive,2018/12/4 3:57:25.960
motion,active,2018/12/4 3:54:59.226
motion,inactive,2018/12/4 3:54:57.246
motion,active,2018/12/4 3:54:38.296
status,closed,2018/12/4 3:54:33.878
status,open,2018/12/4 3:54:31.658
status,closed,2018/12/4 3:54:30.478
acceleration,inactive,2018/12/4 3:53:49.694
status,open,2018/12/4 3:53:44.861
motion,inactive,2018/12/4 3:53:44.583
status,closed,2018/12/4 3:53:43.774
status,open,2018/12/4 3:53:42.143
status,closed,2018/12/4 3:53:41.061
status,open,2018/12/4 3:53:39.973
status,closed,2018/12/4 3:53:38.788
acceleration,active,2018/12/4 3:53:37.524
motion,active,2018/12/4 3:53:33.841
motion,inactive,2018/12/4 3:53:29.731
motion,active,2018/12/4 3:53:18.639
motion,inactive,2018/12/4 3:53:11.461
motion,active,2018/12/4 3:52:58.119
motion,inactive,2018/12/4 3:52:31.851
motion,active,2018/12/4 3:52:19.281
acceleration,inactive,2018/12/4 3:51:29.550
acceleration,active,2018/12/4 3:51:25.400
status,open,2018/12/4 3:51:25.160
temperature,74,2018/12/4 3:46:45.945
temperature,73,2018/12/4 3:16:39.841
motion,inactive,2018/12/4 3:06:31.050
motion,active,2018/12/4 3:04:54.039
motion,inactive,2018/12/4 3:04:53.019
motion,active,2018/12/4 3:04:36.120
motion,inactive,2018/12/4 3:04:21.219
motion,active,2018/12/4 3:03:58.498
motion,inactive,2018/12/4 3:03:49.389
